words;count;idf;tf
aa;16;16;6
aaa;5;5;2
aaas;1;1;1
aach;1;1;0
aachen;2;2;1
aadhe;1;1;1
aagaard;1;1;0
aahoban;1;1;0
aajkal;1;1;1
aalborg;1;1;1
aam;1;1;1
aamir;1;1;1
aan;3;3;1
aanen;1;1;0
aapg;3;3;0
aapka;1;1;0
aar;2;2;0
aardvark;1;1;1
aare;1;1;0
aarhus;2;2;0
aaron;17;17;6
aarp;1;1;0
aarsland;1;1;0
aashto;2;2;0
aat;1;1;1
aave;1;1;1
aavishkar;1;1;0
ab;25;25;8
aba;3;3;2
abacus;2;2;1
abad;2;2;1
abajo;1;1;1
abalone;1;1;1
abandon;5;5;2
abandoned;41;41;11
abandoning;7;7;4
abandonment;5;5;2
abandons;1;1;0
abantika;1;1;0
abate;1;1;1
abatement;1;1;1
abating;1;1;1
abba;1;1;0
abbas;4;4;3
abbasi;2;2;1
abbasid;1;1;0
abbatoirs;1;1;0
abbess;2;2;0
abbesses;1;1;0
abbeville;1;1;0
abbey;10;10;4
abbeymere;1;1;0
abbeys;3;3;0
abbo;1;1;0
abbot;5;5;2
abbots;1;1;0
abbott;4;4;3
abbreviate;3;3;0
abbreviated;29;29;10
abbreviating;1;1;0
abbreviation;26;26;8
abbreviations;17;17;4
abc;15;15;8
abd;2;2;0
abdali;1;1;1
abdel;2;2;1
abdelhamid;1;1;0
abdicated;1;1;1
abdicating;1;1;0
abdication;6;6;3
abdo;1;1;1
abdomen;9;9;4
abdomens;1;1;1
abdominal;14;14;6
abdominis;1;1;0
abdominopelvic;3;3;0
abducted;3;3;1
abduction;2;2;0
abductors;1;1;0
abdul;5;5;3
abdulhamid;1;1;0
abdullah;3;3;1
abdur;2;2;2
abdus;3;3;2
abe;1;1;0
abel;3;3;1
abelard;2;2;0
aberdeen;8;8;5
aberdeenshire;2;2;0
abereiddian;1;1;0
aberffraw;1;1;1
aberic;1;1;0
aberrant;5;5;0
aberration;3;3;0
aberrations;2;2;0
abetted;1;1;0
abetti;1;1;0
abeyance;2;2;0
abg;1;1;0
abgerufen;1;1;1
abgrenzung;1;1;0
abhandlungen;1;1;0
abhay;1;1;1
abhinav;2;2;1
abhishek;1;1;0
abhorred;1;1;0
abhorrence;1;1;1
abi;1;1;0
abia;1;1;1
abicholo;1;1;0
abid;1;1;1
abides;2;2;1
abierta;1;1;0
abilities;11;11;4
ability;134;134;53
abim;1;1;0
abingdon;1;1;0
abiogenesis;7;7;2
abiogenic;2;2;0
abiotic;9;9;1
abir;1;1;0
abitibi;1;1;0
abjads;1;1;0
abject;1;1;1
abkhazia;1;1;0
ablation;3;3;1
ablatis;1;1;0
ablative;3;3;0
ablaut;1;1;1
able;158;158;56
abled;1;1;1
abls;1;1;1
abmezhavanaj;1;1;0
abner;1;1;1
abnormal;14;14;5
abnormalities;5;5;0
abnormality;1;1;1
abnormally;7;7;4
abo;1;1;0
aboard;12;12;5
abode;4;4;0
abodes;1;1;0
abolish;4;4;0
abolished;23;23;8
abolishing;6;6;1
abolition;12;12;4
abolitionist;2;2;1
abolitionists;1;1;1
abominable;5;5;1
abominably;1;1;0
abomination;1;1;0
aboral;1;1;1
aboriginal;10;10;5
aboriginals;2;2;1
aborigines;3;3;2
abort;2;2;1
aborted;1;1;1
abortion;5;5;2
abortions;2;2;1
abortiporus;1;1;0
abound;2;2;0
abounds;1;1;0
aboveground;5;5;0
abowte;1;1;0
abpc;1;1;0
abplanalp;1;1;0
abrade;2;2;1
abraded;2;2;0
abrades;1;1;1
abrading;1;1;0
abraham;21;21;5
abrahamic;1;1;0
abrahamsson;1;1;1
abramowitz;1;1;1
abrams;2;2;1
abrasion;4;4;3
abrasive;4;4;2
abreast;1;1;1
abridged;5;5;2
abridgement;4;4;2
abridgment;3;3;1
abril;1;1;0
abriss;1;1;0
abroad;13;13;5
abrogated;2;2;0
abrolhos;1;1;0
abrupt;10;10;2
abruptic;1;1;0
abruptly;10;10;6
abs;3;3;2
abscisic;1;1;0
absence;84;84;33
absences;1;1;1
absent;34;34;16
absentee;3;3;2
absentia;1;1;0
absinthe;1;1;1
absolute;74;74;27
absolutely;15;15;5
absolutist;2;2;1
absolutists;1;1;0
absolutive;1;1;1
absoluto;1;1;0
absorb;40;40;16
absorbable;2;2;0
absorbance;1;1;0
absorbed;51;51;24
absorbent;1;1;1
absorber;2;2;1
absorbers;1;1;0
absorbing;27;27;12
absorbs;20;20;9
absorption;46;46;27
absorptive;3;3;2
abstaining;1;1;1
abstains;1;1;1
abstand;1;1;1
abstention;1;1;0
abstinence;1;1;1
