,term,cnt
0,clearly,1
1,frequency,1
2,vibrational,2
3,donor,2
4,aryl,1
5,clcn,1
6,isomers,2
7,infrared,2
8,sodium,2
9,theory,2
10,illustrated,1
11,donated,1
12,potassium,1
13,requires,1
14,formed,1
15,complexes,4
16,carry,1
17,hydrogen,1
18,group,2
19,phase,1
20,processes,1
21,triple,4
22,pair,2
23,electrons,2
24,presence,2
25,decontamination,1
26,fact,1
27,functional,1
28,toxic,1
29,write,1
30,phenyl,1
31,solution,3
32,isocyanate,2
33,line,1
34,double,1
35,lone,1
36,products,1
37,structure,7
38,forming,2
39,bond,10
40,reactions,1
41,bent,1
42,acts,1
43,electronic,2
44,hocn,1
45,wöhler,1
46,extensively,1
47,described,2
48,friedrich,1
49,extent,1
50,n-bonded,3
51,contain,2
52,tautomer,1
53,complex,2
54,synthesis,1
55,produced,3
56,acidified,1
57,isocyanates,4
58,oxidized,1
59,linear,4
60,substitution,1
61,factor,1
62,formula,1
63,characteristic,1
64,used,5
65,convert,1
66,mnco,1
67,divalent,1
68,atoms,5
69,example,1
70,aqueous,2
71,acceptors,1
72,cyanato,1
73,type,1
74,phenol,1
75,salt,2
76,ligand,4
77,lewis,2
78,permanganate,1
79,donate,1
80,single,1
81,cocn,1
82,manufacture,1
83,metals,1
84,cnco,1
85,chloride,1
86,distinguish,1
87,trimer,1
88,reaction,2
89,unstable,1
90,make,2
91,simplistic,1
92,known,3
93,chemical,1
94,electron-pair,1
95,weak,1
96,usually,1
97,urea,1
98,major,1
99,compound,1
100,base,3
101,spectroscopy,1
102,similar,1
103,conventional,1
104,accords,1
105,cyanic,1
106,forms,1
107,bonding,1
108,methyl,1
109,simply,1
110,decomposition,1
111,fulminate,1
112,bonds,1
113,distinguished,1
114,according,1
115,cyanates,5
116,cyanides,1
117,esters,1
118,safer,1
119,cyanuric,2
120,rapidly,1
121,widely,1
122,famous,1
123,organic,3
124,nitrogen,4
125,giving,1
126,hnco,3
127,oxygen,4
128,acid,11
129,high,1
130,geometry,1
131,spectrum,3
132,decomposes,1
133,nucleophilic,1
134,cyanate,17
135,pesticides,2
136,suggested,1
137,metal,2
138,trimerizes,1
139,indicative,1
140,o-bonded,1
141,o-bonding,1
142,cyanogen,1
143,heating,2
144,ambidentate,3
145,straight,1
146,carbon,1
147,protonated,1
148,band,2
149,oxidants,1
150,anion,1
151,valence,2
152,written,2
153,peroxide,1
154,cyanide,2
155,unit,2
156,called,1
157,chemistry,1
158,bridge,1
159,present,1
160,converted,1
161,structurally,1
162,confirming,1
163,compounds,2
164,polyurethane,1
165,bhopal,1
166,disaster,1
167,equilibrium,1
168,bridging,1
169,reverse,1
170,isocyanic,6
171,isostructural,1
172,atom,4
173,silver,1
