,term,Unnamed: 0,cnt
0,-------------------,323.0,1.0
1,---------------------,289.0,1.0
2,--gt,963.0,1.0
3,-actinin,657.0,1.0
4,-aged,91.0,1.0
5,-ana-,484.0,1.0
6,-ant,1118.0,1.0
7,-ateur,97.0,1.0
8,-auguste,63.0,2.0
9,-ba-,1364.0,1.0
10,-bahr,574.0,1.0
11,-balkaria,375.0,1.0
12,-bar,285.0,1.0
13,-based,96.0,1.0
14,-bi-,466.0,1.0
15,-bio-,180.0,1.0
16,-bissau,547.0,1.0
17,-borne,480.0,1.0
18,-but,56.0,1.0
19,-captain,119.0,1.0
20,-century,20193.0,85.0
21,-chak,1987.0,1.0
22,-cold,15.0,1.0
23,-cristobalite,56.0,5.0
24,-declension,26.0,2.0
25,-deep,354.0,2.0
26,-deficient,167.0,1.0
27,-di-,285.0,1.0
28,-diameter,782.0,7.0
29,-dynasty,134.0,1.0
30,-eld,288.0,1.0
31,-ent,1086.0,1.0
32,-entibus,503.0,1.0
33,-era,595.0,5.0
34,-est,207.0,1.0
35,-february,140.0,1.0
36,-for-sharks-and-subs,137.0,1.0
37,-form,50.0,1.0
38,-general,379.0,1.0
39,-gerasimenko,51.0,1.0
40,-gmr,127.0,1.0
41,-government,1739.0,1.0
42,-gravity,621.0,1.0
43,-henry,74.0,1.0
44,-high,2845.0,2.0
45,-highest,123.0,1.0
46,-hours,617.0,1.0
47,-ice,1342.0,1.0
48,-ing,96.0,1.0
49,-ior,604.0,1.0
50,-ir-oir-re,693.0,1.0
51,-irem,639.0,1.0
52,-ise,1850.0,3.0
53,-ito,183.0,1.0
54,-izare,138.0,1.0
55,-ize,661.0,4.0
56,-izein,922.0,2.0
57,-izre,419.0,1.0
58,-kil-eez,66.0,1.0
59,-kilometre,353.0,1.0
60,-koku,1193.0,1.0
61,-lactam,1280.0,1.0
62,-largest,1903.0,6.0
63,-least-densely,1601.0,1.0
64,-leste,780.0,3.0
65,-like,788.0,1.0
66,-lo-,540.0,2.0
67,-logia,2664.0,3.0
68,-logy,1134.0,1.0
69,-long,7386.0,10.0
70,-lowest,1928.0,1.0
71,-lyrae,200.0,1.0
72,-magnitude,110.0,1.0
73,-major,136.0,1.0
74,-mass,379.0,1.0
75,-mile,2303.0,7.0
76,-mile-distant,606.0,1.0
77,-minor,18.0,1.0
78,-mns,516.0,1.0
79,-most-populous,3185.0,2.0
80,-near,145.0,1.0
81,-nem,356.0,1.0
82,-nomia,1077.0,1.0
83,-note,495.0,1.0
84,-old,10932.0,34.0
85,-olds,542.0,1.0
86,-ology,273.0,1.0
87,-onym,10.0,1.0
88,-ooo-,264.0,1.0
89,-our,1722.0,1.0
90,-oversaturated,457.0,1.0
91,-party,296.0,1.0
92,-per-hour,40.0,1.0
93,-per-minute,788.0,1.0
94,-per-second,413.0,2.0
95,-phase,34.0,1.0
96,-proteobacterial,60.0,1.0
97,-proteobacterium,536.0,1.0
98,-quartz,2067.0,20.0
99,-quartz-tridymite,34.0,1.0
100,-que,268.0,1.0
101,-ranged,1385.0,1.0
102,-richest,7.0,2.0
103,-salam,41.0,1.0
104,-scale,137.0,1.0
105,-sia-,815.0,1.0
106,-spar,164.0,1.0
107,-sq-ft,761.0,1.0
108,-stitium,514.0,1.0
109,-tall,23.0,1.0
110,-tensors,146.0,1.0
111,-thick,1116.0,3.0
112,-three,136.0,1.0
113,-time,484.0,2.0
114,-to-,138.0,1.0
115,-tor,496.0,1.0
116,-trem,1030.0,1.0
117,-tridymite,281.0,4.0
118,-uld,427.0,2.0
119,-unit,1057.0,1.0
120,-universitet,121.0,1.0
121,-which,871.0,1.0
122,-wide,3039.0,5.0
123,-xisbn,179.0,1.0
124,-year,874.0,2.0
125,-year-old,2561.0,4.0
126,-years,438.0,2.0
127,-yse,1663.0,1.0
128,-yze,303.0,1.0
129,a-aa,7.0,1.0
130,a-aanhaling,135.0,1.0
131,a-ajuin,137.0,1.0
132,a-axis,855.0,1.0
133,a-beh-oot,637.0,1.0
134,a-facing,332.0,2.0
135,a-horizon,2195.0,2.0
136,a-league,1458.0,2.0
137,a-level,625.0,1.0
138,a-meis,1379.0,1.0
139,a-q-p,144.0,1.0
140,a-school,1093.0,1.0
141,a-sih,118.0,1.0
142,a-star,150.0,1.0
143,a-type,1495.0,9.0
144,a-value,268.0,2.0
145,aa-batteries,546.0,1.0
146,aabb,294.0,1.0
147,aacs,1524.0,6.0
148,aadd,582.0,1.0
149,aadhaar,62.0,1.0
150,aaepa,340.0,1.0
151,aafc,129.0,2.0
152,aage,7.0,1.0
153,aaja,647.0,1.0
154,aajiiqatigiingniq,367.0,1.0
155,aalam-ul-ghaib,56.0,1.0
156,aalborg,864.0,2.0
157,aali,829.0,1.0
158,aall,73.0,1.0
159,aalto,633.0,2.0
160,aaltos,23.0,1.0
161,aama,714.0,1.0
162,aampe,119.0,1.0
163,aampm,276.0,3.0
164,aana,38.0,2.0
165,aant,228.0,1.0
166,aappilattoq,870.0,1.0
167,aarhus,61.0,4.0
168,aari,1200.0,1.0
169,aariak,198.0,1.0
170,aaron,215.0,3.0
171,aaronson,7841.0,21.0
172,aartemyev,201.0,1.0
173,aasiaat,40.0,2.0
174,aave,229.0,1.0
175,ababa,1120.0,3.0
176,ababab,1112.0,1.0
177,abad,2305.0,2.0
178,abadan,14.0,1.0
179,abadiella,193.0,1.0
180,abag,1556.0,1.0
181,abajo,3034.0,2.0
182,abakan,1096.0,3.0
183,abalone,953.0,1.0
184,abandon,7677.0,15.0
185,abandoned,40790.0,66.0
186,abandoning,1213.0,4.0
187,abandonment,338.0,2.0
188,abandons,878.0,1.0
189,abas,1406.0,1.0
190,abasa,180.0,1.0
191,abate,77.0,1.0
192,abated,280.0,2.0
193,abathochroal,126.0,1.0
194,abating,1017.0,1.0
195,abazins,70.0,1.0
196,abba,702.0,1.0
197,abbas,1352.0,13.0
198,abbasid,2137.0,4.0
199,abbasids,1561.0,6.0
200,abbassia,344.0,1.0
201,abbe,989.0,3.0
202,abbess,41.0,4.0
203,abbesses,824.0,2.0
204,abbey,2431.0,36.0
205,abbeys,2627.0,3.0
206,abbot,3246.0,6.0
207,abbots,134.0,1.0
208,abbotsford,1113.0,2.0
209,abbott,525.0,4.0
210,abbotts,154.0,2.0
211,abbreviated,4273.0,48.0
212,abbreviation,6528.0,13.0
213,abbreviations,537.0,7.0
214,abby,517.0,1.0
215,abcabcabc,68.0,1.0
216,abcadvanced,32.0,1.0
217,abcd,134.0,1.0
218,abdel,2479.0,7.0
219,abdi,511.0,1.0
220,abdicate,3080.0,2.0
221,abdication,3435.0,4.0
222,abdilmajid,1393.0,1.0
223,abdomen,696.0,14.0
224,abdomens,877.0,3.0
225,abdominal,3011.0,8.0
226,abdoun,7.0,1.0
227,abducted,2486.0,7.0
228,abduction,104.0,5.0
229,abdul,1342.0,4.0
230,abdul-jabbar,423.0,13.0
231,abdulaziz,725.0,2.0
232,abdullah,661.0,3.0
233,abdullahi,52.0,1.0
234,abdus,668.0,1.0
235,abel,5094.0,10.0
236,abelard,1793.0,3.0
237,abelian,436.0,8.0
238,abels,55.0,2.0
239,abelson,697.0,1.0
240,abenaki,43.0,1.0
241,aberdeen,2891.0,5.0
242,aberdeenshire,28.0,3.0
243,aberford,1513.0,1.0
244,aberrant,1386.0,1.0
245,aberration,721.0,3.0
246,aberrations,107.0,1.0
247,abet,299.0,1.0
248,abha,451.0,1.0
249,abhay,1131.0,4.0
250,abhisit,1883.0,2.0
251,abia,1510.0,1.0
252,abide,66.0,1.0
253,abides,59.0,1.0
254,abidjan,1232.0,14.0
255,abidjans,492.0,1.0
256,abies,502.0,1.0
257,abigail,215.0,1.0
258,abiki,300.0,1.0
259,abilities,11948.0,17.0
260,ability,66812.0,185.0
261,abingdon-on-thames,89.0,1.0
262,abington,828.0,1.0
263,abiogenesis,4506.0,21.0
264,abiogenetic,1289.0,2.0
265,abiogenic,4651.0,7.0
266,abiotic,6425.0,12.0
267,abiotically,145.0,1.0
268,abismo,587.0,9.0
269,abismos,162.0,1.0
270,abitibi,110.0,1.0
271,abitibi-tmiscamingue,868.0,1.0
272,abjar,989.0,1.0
273,abject,839.0,1.0
274,abkhaz,172.0,1.0
275,abkhazia,1183.0,5.0
276,ablation,801.0,13.0
277,ablative,1378.0,1.0
278,able,113182.0,306.0
279,able-bodied,971.0,2.0
280,ablution,930.0,1.0
281,abma,662.0,1.0
282,abmajpl,337.0,1.0
283,abmatm,292.0,1.0
284,abner,86.0,1.0
285,abnormal,2673.0,6.0
286,abnormalities,561.0,1.0
287,abnormally,1869.0,6.0
288,aboard,11328.0,67.0
289,aboards,462.0,1.0
290,abode,16.0,1.0
291,abodes,1063.0,1.0
292,abolish,5772.0,6.0
293,abolished,19365.0,26.0
294,abolishes,1387.0,1.0
295,abolishing,68.0,1.0
296,abolition,166.0,3.0
297,abolitionists,1625.0,1.0
298,aboral,425.0,2.0
299,aboriginal,4887.0,55.0
300,aboriginals,2338.0,3.0
301,aborigines,230.0,2.0
302,abort,925.0,9.0
303,aborted,930.0,5.0
304,abortion,1586.0,4.0
305,abortions,1897.0,4.0
306,abortive,4828.0,4.0
307,abound,1775.0,2.0
308,abounding,462.0,1.0
309,abounds,249.0,1.0
310,above-average,2278.0,2.0
311,above-ground,2169.0,4.0
312,above-mentioned,1553.0,5.0
313,above-water,787.0,1.0
314,aboveground,162.0,1.0
315,abovementioned,558.0,1.0
316,abplanalp,444.0,1.0
317,abrade,940.0,2.0
318,abraded,1357.0,1.0
319,abrades,79.0,1.0
320,abraham,10343.0,47.0
321,abrahamic,2465.0,5.0
322,abrahams,1850.0,4.0
323,abrahamsen,192.0,1.0
324,abram,118.0,2.0
325,abramov,496.0,1.0
326,abrams,451.0,8.0
327,abrasion,1565.0,12.0
328,abrasive,427.0,4.0
329,abrazo,113.0,1.0
330,abreast,333.0,1.0
331,abreu,187.0,1.0
332,abridged,1439.0,7.0
333,abridgement,395.0,5.0
334,abroad,18963.0,28.0
335,abrogated,1431.0,1.0
336,abrupt,3953.0,9.0
337,abruptly,7632.0,11.0
338,abruptness,142.0,1.0
339,abruzzi,131.0,1.0
340,abscess,921.0,1.0
341,absence,21501.0,81.0
342,absences,2957.0,5.0
343,absent,14798.0,32.0
344,absentee,3857.0,4.0
345,absentia,744.0,8.0
346,absolon,739.0,1.0
347,absolute,12402.0,180.0
348,absolute-deviation,159.0,1.0
349,absolute-value,476.0,1.0
350,absolutely,8759.0,15.0
351,absolutist,512.0,2.0
352,absolved,890.0,1.0
353,absorb,23974.0,41.0
354,absorbed,13800.0,60.0
355,absorbency,88.0,1.0
356,absorbent,1459.0,2.0
357,absorbing,7673.0,16.0
358,absorbs,8547.0,22.0
359,absorption,30878.0,86.0
360,absorptions,215.0,1.0
361,abstained,1034.0,2.0
362,abstains,198.0,1.0
363,abstention,989.0,1.0
364,abstentions,528.0,5.0
365,abstract,19009.0,48.0
366,abstracted,415.0,10.0
367,abstraction,1544.0,5.0
368,abstractions,824.0,2.0
369,abstractly,65.0,1.0
370,abstracts,2380.0,30.0
371,absurd,1206.0,2.0
372,abu-rajab,678.0,1.0
373,abuelos,565.0,1.0
374,abueva,37.0,1.0
375,abugida,803.0,2.0
376,abuja,1113.0,3.0
377,abul,531.0,1.0
378,abundance,10534.0,89.0
379,abundances,462.0,36.0
380,abundant,7042.0,103.0
381,abundantly,1206.0,1.0
382,aburaage,203.0,1.0
383,abuse,11732.0,20.0
384,abused,2680.0,3.0
385,abuses,5809.0,8.0
386,abushagur,471.0,1.0
387,abusing,164.0,2.0
388,abusir,1080.0,1.0
389,abusive,424.0,1.0
390,abuts,33.0,1.0
391,abutted,1241.0,1.0
392,abutting,33.0,1.0
393,abydos,2624.0,5.0
394,abyei,818.0,2.0
395,abyss,5068.0,16.0
396,abyssal,5925.0,72.0
397,abysses,1052.0,1.0
398,abyssinia,3655.0,4.0
399,abyssinian,117.0,1.0
400,abyssinianadal,851.0,1.0
401,abyssinica,277.0,1.0
402,abyssobrotula,779.0,1.0
403,abyssopelagic,276.0,1.0
404,abzu,129.0,2.0
405,acacia,1909.0,7.0
406,acacia-argania,630.0,1.0
407,acacus,147.0,1.0
408,academia,4580.0,14.0
409,academic,23312.0,121.0
410,academically,3933.0,4.0
411,academicians,1913.0,1.0
412,academics,2919.0,13.0
413,academie,267.0,2.0
414,academies,3486.0,5.0
415,academy,38946.0,111.0
416,academys,1209.0,2.0
417,acadia,1189.0,2.0
418,acadian,1416.0,6.0
419,acadians,312.0,3.0
420,acadiensis,74.0,1.0
421,acadmie,892.0,4.0
422,acanthamoeba,16.0,1.0
423,acantharea,173.0,1.0
424,acantharia,75.0,1.0
425,acanthobrama,91.0,1.0
426,acanthodrilidae,251.0,1.0
427,acanthopleurella,319.0,1.0
428,acanthostega,113.0,4.0
429,acapulco,1519.0,6.0
430,acasta,13.0,2.0
431,acaudina,892.0,1.0
432,acaxee,49.0,1.0
433,accademia,1365.0,3.0
434,accademici,91.0,1.0
435,accahaesc,210.0,1.0
436,acceded,271.0,3.0
437,accelerate,17331.0,33.0
438,accelerated,11866.0,44.0
439,accelerates,2777.0,14.0
440,accelerating,10742.0,31.0
441,acceleration,15510.0,121.0
442,accelerations,3582.0,8.0
443,accelerator,1970.0,7.0
444,accelerators,3599.0,12.0
445,accelerometer,572.0,1.0
446,accent,7267.0,28.0
447,accented,865.0,1.0
448,accents,3724.0,16.0
449,accentuate,1061.0,1.0
450,accentuated,5468.0,6.0
451,accentuation,72.0,1.0
452,accentus,445.0,1.0
453,accept,13775.0,38.0
454,acceptable,5115.0,16.0
455,acceptably,212.0,1.0
456,acceptance,21667.0,37.0
457,accepted,83003.0,205.0
458,accepting,5526.0,6.0
459,acceptor,251.0,4.0
460,acceptors,1724.0,5.0
461,accepts,1965.0,5.0
462,access,61648.0,228.0
463,accesse,902.0,1.0
464,accessed,4781.0,21.0
465,accesses,599.0,1.0
466,accessibility,6137.0,9.0
467,accessible,36949.0,50.0
468,accessing,2648.0,10.0
469,accession,2109.0,8.0
470,accessories,1033.0,3.0
471,accessory,1311.0,7.0
472,acciai,1607.0,1.0
473,acciaierie,355.0,2.0
474,accident,10305.0,31.0
475,accidental,12014.0,17.0
476,accidentally,3411.0,22.0
477,accidents,6937.0,11.0
478,accipitridae,303.0,1.0
479,acclaim,5909.0,9.0
480,acclaimed,6001.0,13.0
481,acclamation,1366.0,1.0
482,acclimate,203.0,1.0
483,acclimation,1979.0,2.0
484,acclimatisation,1598.0,1.0
485,acclimatised,806.0,1.0
486,acclimatising,1007.0,1.0
487,acclimatization,479.0,2.0
488,acclimatize,865.0,2.0
489,accolade,805.0,1.0
490,accolades,1693.0,3.0
491,accommodate,14799.0,29.0
492,accommodated,3074.0,12.0
493,accommodating,1160.0,2.0
494,accommodation,606.0,2.0
495,accommodations,247.0,2.0
496,accompanied,36208.0,74.0
497,accompanies,1542.0,2.0
498,accompaniment,560.0,1.0
499,accompany,4473.0,7.0
500,accompanying,3846.0,21.0
501,accomplish,4412.0,12.0
502,accomplished,3420.0,25.0
503,accomplishes,377.0,1.0
504,accomplishing,3571.0,6.0
505,accomplishment,1287.0,5.0
506,accomplishments,5433.0,11.0
507,accona,377.0,2.0
508,accord,5049.0,16.0
509,accordance,13913.0,44.0
510,accorded,2610.0,3.0
511,according,147329.0,709.0
512,accordingly,13796.0,31.0
513,accordion,2238.0,2.0
514,accords,1473.0,13.0
515,account,56914.0,216.0
516,accountability,4272.0,19.0
517,accountable,1146.0,3.0
518,accountant,4379.0,2.0
519,accounted,14532.0,35.0
520,accounting,19181.0,39.0
521,accounts,55790.0,98.0
522,accra,614.0,1.0
523,accredit,740.0,1.0
524,accreditation,828.0,6.0
525,accredited,8060.0,8.0
526,accrete,481.0,1.0
527,accreted,6966.0,8.0
528,accretes,795.0,1.0
